iter	Logloss
0	0.6888034423
1	0.6848223098
2	0.6811344752
3	0.676697522
4	0.6728574795
5	0.6684940422
6	0.6644553882
7	0.6607300736
8	0.6566273532
9	0.652311142
10	0.6481654917
11	0.6443707958
12	0.6401390737
13	0.6363751124
14	0.6326125557
15	0.6291489596
16	0.6256900962
17	0.6221357448
18	0.6185128459
19	0.6151924091
20	0.611273984
21	0.6076864026
22	0.6043025161
23	0.6006753053
24	0.5967830153
25	0.5927763923
26	0.5890634808
27	0.5855741384
28	0.5823022797
29	0.5785098967
30	0.5749903864
31	0.5711074019
32	0.5674485481
33	0.5636688135
34	0.5597792014
35	0.5560757019
36	0.5525322277
37	0.5486713817
38	0.5460086048
39	0.5428882141
40	0.5391269291
41	0.5358084019
42	0.5323663619
43	0.5292995334
44	0.5263385861
45	0.523348398
46	0.5196683019
47	0.5164921325
48	0.5137369442
49	0.5103757344
50	0.5070587216
51	0.5038201474
52	0.5010191935
53	0.4977103034
54	0.4943722379
55	0.4915559761
56	0.4884373179
57	0.4856792517
58	0.4825083727
59	0.4795282803
60	0.476309934
61	0.4731641043
62	0.4699506711
63	0.4672521659
64	0.4639285885
65	0.4605449002
66	0.4580166425
67	0.4556404313
68	0.4526546281
69	0.4501164359
70	0.4473983253
71	0.4443192103
72	0.4413288919
73	0.4384053189
74	0.4358335307
75	0.4329662619
76	0.4301909255
77	0.4280749257
78	0.4250728802
79	0.4226706004
80	0.4200962712
81	0.4172820785
82	0.414521478
83	0.4116900685
84	0.4094111127
85	0.4066585118
86	0.403957061
87	0.4017704684
88	0.3989019387
89	0.3960216384
90	0.3937908034
91	0.3910628705
92	0.3884136511
93	0.3859254282
94	0.3833829104
95	0.3808474349
96	0.3784340769
97	0.3764070346
98	0.373867667
99	0.3712322912
100	0.368622172
101	0.3664619041
102	0.3640606795
103	0.3615852164
104	0.3595662689
105	0.357465718
106	0.3551470624
107	0.3526521895
108	0.3502975387
109	0.3483048731
110	0.3461482834
111	0.3436669065
112	0.3413143186
113	0.3389995521
114	0.3367278299
115	0.3347803779
116	0.3327121261
117	0.3305827174
118	0.3285389833
119	0.3265185497
120	0.3243557287
121	0.3221817804
122	0.319944355
123	0.3177156347
124	0.315618375
125	0.3135218997
126	0.3117519888
127	0.3095606122
128	0.3075038435
129	0.3055076475
130	0.3035377392
131	0.3014979928
132	0.2993690548
133	0.2972410809
134	0.2955723
135	0.2939372868
136	0.2918615849
137	0.2901372517
138	0.288197071
139	0.2862401733
140	0.2842221063
141	0.2826045295
142	0.2806262544
143	0.2786749761
144	0.2771381609
145	0.2751484476
146	0.2732255342
147	0.2712656938
148	0.2694542569
149	0.267645418
150	0.2657665387
151	0.2639827458
152	0.262299821
153	0.2605079078
154	0.2587225824
155	0.2568164083
156	0.2551709359
157	0.2533966064
158	0.2516283954
159	0.2499201544
160	0.2482508941
161	0.2465733134
162	0.244857514
163	0.2432450699
164	0.2416396633
165	0.2401788376
166	0.2384483303
167	0.2367937502
168	0.235222301
169	0.233570195
170	0.2320393576
171	0.2305251046
172	0.2292451437
173	0.2280202175
174	0.2264164507
175	0.2249304886
176	0.2233836198
177	0.2218195439
178	0.2206489624
179	0.2192082946
180	0.2177249784
181	0.2162766207
182	0.2148477769
183	0.2137105565
184	0.2124576691
185	0.2110187708
186	0.2098769392
187	0.2083113361
188	0.2070900558
189	0.2057042332
190	0.2045958005
191	0.203213183
192	0.2019479429
193	0.2007136286
194	0.1994310646
195	0.1981881776
196	0.1968962561
197	0.1956270529
198	0.1943670986
199	0.1931460805
200	0.1917953836
201	0.1905705274
202	0.1892671284
203	0.1882858722
204	0.1872799897
205	0.1862461671
206	0.184998669
207	0.1837382688
208	0.1825174132
209	0.1813598131
210	0.1803438758
211	0.1791039227
212	0.1779208371
213	0.1769676821
214	0.1758455555
215	0.174659625
216	0.1735195208
217	0.1723395599
218	0.1711798501
219	0.1700778769
220	0.1689601898
221	0.1680395438
222	0.1669553161
223	0.1658576071
224	0.1647618951
225	0.1636386494
226	0.1627973985
227	0.1617956415
228	0.1609696741
229	0.1599419486
230	0.1589641717
231	0.1579084679
232	0.1570369824
233	0.1559724938
234	0.1549040708
235	0.1539000501
236	0.1528708376
237	0.1518894446
238	0.1509595677
239	0.1500507763
240	0.1492572823
241	0.1483028544
242	0.1473950963
243	0.1465062013
244	0.1456142253
245	0.1448527003
246	0.1440526546
247	0.1431639528
248	0.1423299683
249	0.1414356401
250	0.1405622954
251	0.1396870794
252	0.1387872076
253	0.1378662478
254	0.1370025799
255	0.136122761
256	0.1352554752
257	0.1343730396
258	0.1335089928
259	0.1328256194
260	0.1319773449
261	0.1313340591
262	0.1304071145
263	0.1295616353
264	0.1287221862
265	0.1278699444
266	0.1272201363
